"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","should load Account/Login page","webkit","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","1312","View Employees hero button navigates to employees page","firefox","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","1131","Login nav link navigates to login page","chromium","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","1120","has correct title","chromium","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","927","invalid credentials show validation errors","firefox","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","39","should load Employee page","webkit","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","1121","has correct title","webkit","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","924","invalid credentials show validation errors","chromium","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","2084","has correct title","firefox","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","1910","Register nav link navigates to register page","webkit","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","2321","valid user can log in","webkit","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","53","should load Employee page","firefox","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","32","should return 404 for non-existent page","webkit","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","2083","View Employees hero button navigates to employees page","webkit","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","1003","View Employees hero button navigates to employees page","chromium","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","288","should load home page","chromium","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","1554","valid user can log in","chromium","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","1103","Register nav link navigates to register page","chromium","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","1366","valid user can log in","firefox","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","192","should load home page","firefox","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","871","has correct title","chromium","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","2717","Login nav link navigates to login page","webkit","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","822","has correct title","firefox","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","60","should load Employee page","chromium","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","188","should load home page","webkit","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","61","should load Account/Login page","chromium","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","1151","Login nav link navigates to login page","firefox","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","1224","invalid credentials show validation errors","webkit","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","1138","Register nav link navigates to register page","firefox","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","18910","has correct title","webkit","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","56","should return 404 for non-existent page","chromium","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","51","should load Account/Login page","firefox","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","46","should return 404 for non-existent page","firefox","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
