"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2861","Register nav link navigates to register page","webkit","2026-08-10","passed","2026-08-10","Home page","example.spec.js","",""
"","1053","View Employees hero button navigates to employees page","firefox","2026-08-10","passed","2026-08-10","Home page","example.spec.js","",""
"","291","should load Employee page","chromium","2026-08-10","passed","2026-08-10","Application Endpoints","api.spec.js","",""
"","177","should load Account/Login page","webkit","2026-08-10","passed","2026-08-10","Application Endpoints","api.spec.js","",""
"","408","should load home page","chromium","2026-08-10","passed","2026-08-10","Application Endpoints","api.spec.js","",""
"","269","should return 404 for non-existent page","webkit","2026-08-10","passed","2026-08-10","Application Endpoints","api.spec.js","",""
"","3540","Login nav link navigates to login page","webkit","2026-08-10","passed","2026-08-10","Home page","example.spec.js","",""
"","729","invalid credentials show validation errors","firefox","2026-08-10","passed","2026-08-10","Login page","example.spec.js","",""
"","1575","has correct title","webkit","2026-08-10","passed","2026-08-10","Login page","example.spec.js","",""
"","1417","valid user can log in","chromium","2026-08-10","passed","2026-08-10","Login page","example.spec.js","",""
"","954","View Employees hero button navigates to employees page","chromium","2026-08-10","passed","2026-08-10","Home page","example.spec.js","",""
"","227","should load Account/Login page","chromium","2026-08-10","passed","2026-08-10","Application Endpoints","api.spec.js","",""
"","400","should load home page","firefox","2026-08-10","passed","2026-08-10","Application Endpoints","api.spec.js","",""
"","1039","Register nav link navigates to register page","chromium","2026-08-10","passed","2026-08-10","Home page","example.spec.js","",""
"","200","should load Account/Login page","firefox","2026-08-10","passed","2026-08-10","Application Endpoints","api.spec.js","",""
"","368","should load home page","webkit","2026-08-10","passed","2026-08-10","Application Endpoints","api.spec.js","",""
"","10044","has correct title","webkit","2026-08-10","passed","2026-08-10","Home page","example.spec.js","",""
"","911","invalid credentials show validation errors","chromium","2026-08-10","passed","2026-08-10","Login page","example.spec.js","",""
"","54","should return 404 for non-existent page","firefox","2026-08-10","passed","2026-08-10","Application Endpoints","api.spec.js","",""
"","280","should load Employee page","firefox","2026-08-10","passed","2026-08-10","Application Endpoints","api.spec.js","",""
"","1686","invalid credentials show validation errors","webkit","2026-08-10","passed","2026-08-10","Login page","example.spec.js","",""
"","2927","valid user can log in","webkit","2026-08-10","passed","2026-08-10","Login page","example.spec.js","",""
"","1402","valid user can log in","firefox","2026-08-10","passed","2026-08-10","Login page","example.spec.js","",""
"","1083","Login nav link navigates to login page","chromium","2026-08-10","passed","2026-08-10","Home page","example.spec.js","",""
"","227","should return 404 for non-existent page","chromium","2026-08-10","passed","2026-08-10","Application Endpoints","api.spec.js","",""
"","231","should load Employee page","webkit","2026-08-10","passed","2026-08-10","Application Endpoints","api.spec.js","",""
"","683","has correct title","firefox","2026-08-10","passed","2026-08-10","Login page","example.spec.js","",""
"","3204","View Employees hero button navigates to employees page","webkit","2026-08-10","passed","2026-08-10","Home page","example.spec.js","",""
"","1992","has correct title","firefox","2026-08-10","passed","2026-08-10","Home page","example.spec.js","",""
"","1128","Login nav link navigates to login page","firefox","2026-08-10","passed","2026-08-10","Home page","example.spec.js","",""
"","1218","has correct title","chromium","2026-08-10","passed","2026-08-10","Home page","example.spec.js","",""
"","943","Register nav link navigates to register page","firefox","2026-08-10","passed","2026-08-10","Home page","example.spec.js","",""
"","832","has correct title","chromium","2026-08-10","passed","2026-08-10","Login page","example.spec.js","",""
