"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","116","should load Account/Login page","chromium","2026-07-20","passed","2026-07-20","Application Endpoints","api.spec.js","",""
"","998","invalid credentials show validation errors","firefox","2026-07-20","passed","2026-07-20","Login page","example.spec.js","",""
"","935","View Employees hero button navigates to employees page","chromium","2026-07-20","passed","2026-07-20","Home page","example.spec.js","",""
"","2213","Register nav link navigates to register page","webkit","2026-07-20","passed","2026-07-20","Home page","example.spec.js","",""
"","264","should load home page","chromium","2026-07-20","passed","2026-07-20","Application Endpoints","api.spec.js","",""
"","993","Register nav link navigates to register page","firefox","2026-07-20","passed","2026-07-20","Home page","example.spec.js","",""
"","1497","has correct title","webkit","2026-07-20","passed","2026-07-20","Login page","example.spec.js","",""
"","291","should return 404 for non-existent page","webkit","2026-07-20","passed","2026-07-20","Application Endpoints","api.spec.js","",""
"","1039","has correct title","chromium","2026-07-20","passed","2026-07-20","Home page","example.spec.js","",""
"","1525","invalid credentials show validation errors","webkit","2026-07-20","passed","2026-07-20","Login page","example.spec.js","",""
"","101","should return 404 for non-existent page","chromium","2026-07-20","passed","2026-07-20","Application Endpoints","api.spec.js","",""
"","858","invalid credentials show validation errors","chromium","2026-07-20","passed","2026-07-20","Login page","example.spec.js","",""
"","543","should load home page","webkit","2026-07-20","passed","2026-07-20","Application Endpoints","api.spec.js","",""
"","2528","View Employees hero button navigates to employees page","webkit","2026-07-20","passed","2026-07-20","Home page","example.spec.js","",""
"","296","should load Account/Login page","webkit","2026-07-20","passed","2026-07-20","Application Endpoints","api.spec.js","",""
"","1237","View Employees hero button navigates to employees page","firefox","2026-07-20","passed","2026-07-20","Home page","example.spec.js","",""
"","2357","has correct title","firefox","2026-07-20","passed","2026-07-20","Home page","example.spec.js","",""
"","745","has correct title","firefox","2026-07-20","passed","2026-07-20","Login page","example.spec.js","",""
"","103","should load Employee page","chromium","2026-07-20","passed","2026-07-20","Application Endpoints","api.spec.js","",""
"","2620","valid user can log in","webkit","2026-07-20","passed","2026-07-20","Login page","example.spec.js","",""
"","2998","Login nav link navigates to login page","webkit","2026-07-20","passed","2026-07-20","Home page","example.spec.js","",""
"","56","should load Account/Login page","firefox","2026-07-20","passed","2026-07-20","Application Endpoints","api.spec.js","",""
"","173","should load Employee page","firefox","2026-07-20","passed","2026-07-20","Application Endpoints","api.spec.js","",""
"","2585","has correct title","webkit","2026-07-20","passed","2026-07-20","Home page","example.spec.js","",""
"","1011","Register nav link navigates to register page","chromium","2026-07-20","passed","2026-07-20","Home page","example.spec.js","",""
"","244","should return 404 for non-existent page","firefox","2026-07-20","passed","2026-07-20","Application Endpoints","api.spec.js","",""
"","987","Login nav link navigates to login page","chromium","2026-07-20","passed","2026-07-20","Home page","example.spec.js","",""
"","1231","valid user can log in","firefox","2026-07-20","passed","2026-07-20","Login page","example.spec.js","",""
"","759","has correct title","chromium","2026-07-20","passed","2026-07-20","Login page","example.spec.js","",""
"","1314","valid user can log in","chromium","2026-07-20","passed","2026-07-20","Login page","example.spec.js","",""
"","638","should load home page","firefox","2026-07-20","passed","2026-07-20","Application Endpoints","api.spec.js","",""
"","939","Login nav link navigates to login page","firefox","2026-07-20","passed","2026-07-20","Home page","example.spec.js","",""
"","169","should load Employee page","webkit","2026-07-20","passed","2026-07-20","Application Endpoints","api.spec.js","",""
