"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2276","should call GET /api/user endpoint when logged in","chromium","2026-06-10","passed","2026-06-10","Playground - API Testing","playground-auth.spec.js","",""
"","1969","should add new employee via form","firefox","2026-06-10","passed","2026-06-10","Playground - Employee Management (POM)","playground-pom.spec.js","",""
"","3317","should call GET /api/employees/1 endpoint","webkit","2026-06-10","passed","2026-06-10","Playground - API Testing","playground-auth.spec.js","",""
"","213","should show validation errors for empty fields","chromium","2026-06-10","passed","2026-06-10","Playground - Login Form","playground.spec.js","",""
"","2286","should call GET /api/employees/1 endpoint","chromium","2026-06-10","passed","2026-06-10","Playground - API Testing","playground-auth.spec.js","",""
"","529","should reset login form","firefox","2026-06-10","passed","2026-06-10","Playground - Authentication","playground-auth.spec.js","",""
"","51","should load Employee page","firefox","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","125578","should increment counter","webkit","2026-06-10","broken","2026-06-10","Playground - Interactive Elements","playground.spec.js","",""
"","2709","should call GET /api/stats endpoint","firefox","2026-06-10","passed","2026-06-10","Playground - API Testing (POM)","playground-pom.spec.js","",""
"","123037","should open and close modal","chromium","2026-06-10","broken","2026-06-10","Playground - Modal","playground.spec.js","",""
"","1554","should refresh employee list","chromium","2026-06-10","passed","2026-06-10","Playground - Employee Management (Authenticated)","playground-auth.spec.js","",""
"","523","should show validation errors for empty credentials","firefox","2026-06-10","passed","2026-06-10","Playground - Authentication (POM)","playground-pom.spec.js","",""
"","120196","should open and close modal","firefox","2026-06-10","broken","2026-06-10","Playground - Modal","playground.spec.js","",""
"","765","invalid credentials show validation errors","firefox","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","536","should login successfully with valid credentials","firefox","2026-06-10","passed","2026-06-10","Playground - Login Form","playground.spec.js","",""
"","2365","should login successfully with valid credentials","webkit","2026-06-10","passed","2026-06-10","Playground - Authentication","playground-auth.spec.js","",""
"","574","should show validation errors for empty credentials","firefox","2026-06-10","passed","2026-06-10","Playground - Authentication","playground-auth.spec.js","",""
"","3305","should display API response in formatted JSON","webkit","2026-06-10","passed","2026-06-10","Playground - API Testing (POM)","playground-pom.spec.js","",""
"","2654","should display API response in formatted JSON","firefox","2026-06-10","passed","2026-06-10","Playground - API Testing","playground-auth.spec.js","",""
"","1536","should add new employee via form","chromium","2026-06-10","passed","2026-06-10","Playground - Employee Management (Authenticated)","playground-auth.spec.js","",""
"","3260","valid user can log in","webkit","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","1793","has correct title","firefox","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","470","should display login form on initial load","firefox","2026-06-10","passed","2026-06-10","Playground - Authentication (POM)","playground-pom.spec.js","",""
"","2672","should delete employee","webkit","2026-06-10","passed","2026-06-10","Playground - Employee Management (POM)","playground-pom.spec.js","",""
"","750","invalid credentials show validation errors","chromium","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","125620","should add new employee","webkit","2026-06-10","broken","2026-06-10","Playground - Employee Table","playground.spec.js","",""
"","2672","should call GET /api/employees/1 endpoint","firefox","2026-06-10","passed","2026-06-10","Playground - API Testing","playground-auth.spec.js","",""
"","1499","should edit employee (populate form)","chromium","2026-06-10","passed","2026-06-10","Playground - Employee Management (Authenticated)","playground-auth.spec.js","",""
"","15950","should delete employee","firefox","2026-06-10","failed","2026-06-10","Playground - Employee Table","playground.spec.js","",""
"","123119","should add new employee","chromium","2026-06-10","broken","2026-06-10","Playground - Employee Table","playground.spec.js","",""
"","774","View Employees hero button navigates to employees page","chromium","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","120217","should increment counter","firefox","2026-06-10","broken","2026-06-10","Playground - Interactive Elements","playground.spec.js","",""
"","2362","should display employee table with initial data","webkit","2026-06-10","passed","2026-06-10","Playground - Employee Management (POM)","playground-pom.spec.js","",""
"","1122","should show error with invalid credentials","webkit","2026-06-10","passed","2026-06-10","Playground - Authentication","playground-auth.spec.js","",""
"","1085","has correct title","webkit","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","845","should show validation errors for empty fields","webkit","2026-06-10","passed","2026-06-10","Playground - Login Form","playground.spec.js","",""
"","125774","should reset counter","webkit","2026-06-10","broken","2026-06-10","Playground - Interactive Elements","playground.spec.js","",""
"","1515","should logout successfully","chromium","2026-06-10","passed","2026-06-10","Playground - Authentication (POM)","playground-pom.spec.js","",""
"","1560","should search employees by name","chromium","2026-06-10","passed","2026-06-10","Playground - Employee Management (POM)","playground-pom.spec.js","",""
"","120246","should add new employee","firefox","2026-06-10","broken","2026-06-10","Playground - Employee Table","playground.spec.js","",""
"","228","should show error with invalid credentials","chromium","2026-06-10","passed","2026-06-10","Playground - Login Form","playground.spec.js","",""
"","122816","should decrement counter","chromium","2026-06-10","broken","2026-06-10","Playground - Interactive Elements","playground.spec.js","",""
"","2308","should display API response in formatted JSON","chromium","2026-06-10","passed","2026-06-10","Playground - API Testing","playground-auth.spec.js","",""
"","965","should reset form","webkit","2026-06-10","passed","2026-06-10","Playground - Login Form","playground.spec.js","",""
"","1899","should login successfully with valid credentials","firefox","2026-06-10","passed","2026-06-10","Playground - Authentication","playground-auth.spec.js","",""
"","1931","should search employees by name","firefox","2026-06-10","passed","2026-06-10","Playground - Employee Management (Authenticated)","playground-auth.spec.js","",""
"","3275","should call GET /api/user endpoint when logged in","webkit","2026-06-10","passed","2026-06-10","Playground - API Testing","playground-auth.spec.js","",""
"","126009","should decrement counter","webkit","2026-06-10","broken","2026-06-10","Playground - Interactive Elements","playground.spec.js","",""
"","736","has correct title","firefox","2026-06-10","passed","2026-06-10","Login page","example.spec.js","",""
"","2279","should call GET /api/employees/1 endpoint","chromium","2026-06-10","passed","2026-06-10","Playground - API Testing (POM)","playground-pom.spec.js","",""
"","15661","should delete employee","chromium","2026-06-10","failed","2026-06-10","Playground - Employee Table","playground.spec.js","",""
"","44","should load Employee page","chromium","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","1514","should delete employee","chromium","2026-06-10","passed","2026-06-10","Playground - Employee Management (POM)","playground-pom.spec.js","",""
"","205","should display login form","chromium","2026-06-10","passed","2026-06-10","Playground - Login Form","playground.spec.js","",""
"","1053","should reset login form","webkit","2026-06-10","passed","2026-06-10","Playground - Authentication (POM)","playground-pom.spec.js","",""
"","169","should load home page","webkit","2026-06-10","passed","2026-06-10","Application Endpoints","api.spec.js","",""
"","751","should display login form","webkit","2026-06-10","passed","2026-06-10","Playground - Login Form","playground.spec.js","",""
"","2061","Register nav link navigates to register page","webkit","2026-06-10","passed","2026-06-10","Home page","example.spec.js","",""
"","2642","should logout successfully","webkit","2026-06-10","passed","2026-06-10","Playground - Authentication","playground-auth.spec.js","",""
"","2475","should edit employee (populate form)","webkit","2026-06-10","passed","2026-06-10","Playground - Employee Management (POM)","playground-pom.spec.js","",""
"","3270","should call GET /api/user endpoint when logged in","webkit","2026-06-10","passed","2026-06-10","Playground - API Testing (POM)","playground-pom.spec.js","",""
"","242","should login successfully with valid credentials","chromium","2026-06-10","passed","2026-06-10","Playground - Login Form","playground.spec.js","",""
"","543","should reset login form","firefox","2026-06-10","passed","2026-06-10","Playground - Authentication (POM)","playground-pom.spec.js","",""
"","123051","should increment counter","chromium","2026-06-10","broken","2026-06-10","Playground - Interactive Elements","playground.spec.js","",""
"","552","should show error with invalid credentials","firefox","2026-06-10","passed","2026-06-10","Playground - Authentication (POM)","playground-pom.spec.js","",""
"","518","should show validation errors for empty fields","firefox","2026-06-10","passed","2026-06-10","Playground - Login Form","playground.spec.js","",""
"","2586","should search employees by name","webkit","2026-06-10","passed","2026-06-10","Playground - Employee Management (Authenticated)","playground-auth.spec.js","",""
"","1897","should edit employee (populate form)","firefox","2026-06-10","passed","2026-06-10","Playground - Employee Management (Authenticated)","playground-auth.spec.js","",""
"","2566","should refresh employee list","webkit","2026-06-10","passed","2026-06-10","Playground - Employee Management (Authenticated)","playground-auth.spec.js","",""
