"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1736","has correct title","firefox","2026-06-26","passed","2026-06-26","Home page","example.spec.js","",""
"","1042","Login nav link navigates to login page","chromium","2026-06-26","passed","2026-06-26","Home page","example.spec.js","",""
"","59","should load Account/Login page","chromium","2026-06-26","passed","2026-06-26","Application Endpoints","api.spec.js","",""
"","1254","Register nav link navigates to register page","firefox","2026-06-26","passed","2026-06-26","Home page","example.spec.js","",""
"","1095","has correct title","chromium","2026-06-26","passed","2026-06-26","Home page","example.spec.js","",""
"","2381","valid user can log in","webkit","2026-06-26","passed","2026-06-26","Login page","example.spec.js","",""
"","970","View Employees hero button navigates to employees page","chromium","2026-06-26","passed","2026-06-26","Home page","example.spec.js","",""
"","2250","View Employees hero button navigates to employees page","webkit","2026-06-26","passed","2026-06-26","Home page","example.spec.js","",""
"","1968","Register nav link navigates to register page","webkit","2026-06-26","passed","2026-06-26","Home page","example.spec.js","",""
"","6740","has correct title","webkit","2026-06-26","passed","2026-06-26","Home page","example.spec.js","",""
"","54","should return 404 for non-existent page","firefox","2026-06-26","passed","2026-06-26","Application Endpoints","api.spec.js","",""
"","851","has correct title","chromium","2026-06-26","passed","2026-06-26","Login page","example.spec.js","",""
"","1310","Login nav link navigates to login page","firefox","2026-06-26","passed","2026-06-26","Home page","example.spec.js","",""
"","1634","valid user can log in","firefox","2026-06-26","passed","2026-06-26","Login page","example.spec.js","",""
"","2554","Login nav link navigates to login page","webkit","2026-06-26","passed","2026-06-26","Home page","example.spec.js","",""
"","1226","invalid credentials show validation errors","webkit","2026-06-26","passed","2026-06-26","Login page","example.spec.js","",""
"","949","invalid credentials show validation errors","firefox","2026-06-26","passed","2026-06-26","Login page","example.spec.js","",""
"","94","should load Employee page","webkit","2026-06-26","passed","2026-06-26","Application Endpoints","api.spec.js","",""
"","1508","valid user can log in","chromium","2026-06-26","passed","2026-06-26","Login page","example.spec.js","",""
"","1078","has correct title","webkit","2026-06-26","passed","2026-06-26","Login page","example.spec.js","",""
"","873","has correct title","firefox","2026-06-26","passed","2026-06-26","Login page","example.spec.js","",""
"","181","should load home page","webkit","2026-06-26","passed","2026-06-26","Application Endpoints","api.spec.js","",""
"","876","invalid credentials show validation errors","chromium","2026-06-26","passed","2026-06-26","Login page","example.spec.js","",""
"","241","should load home page","chromium","2026-06-26","passed","2026-06-26","Application Endpoints","api.spec.js","",""
"","1327","View Employees hero button navigates to employees page","firefox","2026-06-26","passed","2026-06-26","Home page","example.spec.js","",""
"","37","should load Account/Login page","webkit","2026-06-26","passed","2026-06-26","Application Endpoints","api.spec.js","",""
"","237","should load home page","firefox","2026-06-26","passed","2026-06-26","Application Endpoints","api.spec.js","",""
"","186","should load Employee page","firefox","2026-06-26","passed","2026-06-26","Application Endpoints","api.spec.js","",""
"","67","should load Account/Login page","firefox","2026-06-26","passed","2026-06-26","Application Endpoints","api.spec.js","",""
"","61","should load Employee page","chromium","2026-06-26","passed","2026-06-26","Application Endpoints","api.spec.js","",""
"","57","should return 404 for non-existent page","chromium","2026-06-26","passed","2026-06-26","Application Endpoints","api.spec.js","",""
"","35","should return 404 for non-existent page","webkit","2026-06-26","passed","2026-06-26","Application Endpoints","api.spec.js","",""
"","1113","Register nav link navigates to register page","chromium","2026-06-26","passed","2026-06-26","Home page","example.spec.js","",""
